fighter,country,continent,stance_project,hand,wins,losses,total_fights,win_rate,weight_class,learning_tip,weight_class_source,gender,height_cm,reach_cm,stance_ufcstats,dob,ufcstats_url,ufc_fights,ufc_wins,ufc_losses,ufc_ko_wins,ufc_sub_wins,ufc_dec_wins,title_fights,main_events,first_ufc_fight,last_ufc_fight,stats_fights,ufc_minutes,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd_avg,ctrl_pct,pct_distance,pct_clinch,pct_ground,pct_head,pct_body,pct_leg,age,age_at_last_ufc_fight,active,ape_index_cm,headliner_index,striking_index,grappling_index,fighting_style,stance,stance_matches_project,foot,champion,popularity_index,stance_hand,foot_hand,ape_index
Bas Rutten,Netherlands,Europe,Southpaw,Left,28,4,32,87.5,Heavyweight,Study fundamentals and signature techniques,corrected,Men,185.4,,Orthodox,1965-02-24,http://ufcstats.com/fighter-details/03688dc3c3af3ac1,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1999-01-08,1999-05-07,2.0,35.2,1.39,54.44,1.22,60.19,0.0,,40.0,0.43,0.43,0.0,44.9,20.41,34.69,63.27,18.37,18.37,61.6,34.2,False,,3.0,,,Not enough UFC data,Orthodox,False,Left,True,14,Orthodox · Left-handed,Left foot · Left hand,
Stefan Struve,Netherlands,Europe,Orthodox,Right,28,13,41,68.29,Heavyweight,Study fundamentals and signature techniques,corrected,Men,210.8,213.4,Orthodox,1988-02-18,http://ufcstats.com/fighter-details/ebc1f40e00e0c481,24.0,13.0,11.0,5.0,6.0,2.0,0.0,2.0,2009-02-21,2020-10-24,24.0,187.5,3.12,47.45,4.04,46.5,0.56,46.67,55.77,1.68,0.24,10.79,83.59,5.98,10.43,52.99,22.56,24.44,38.6,32.7,False,2.6,2.0,31.0,49.0,Grappler,Orthodox,True,Left,False,29,Orthodox · Right-handed,Left foot · Right hand,1.012
Melvin Manhoef,Netherlands,Europe,Orthodox,Right,31,14,45,68.89,Middleweight,Study fundamentals and signature techniques,corrected,Men,175.3,,Orthodox,1976-05-11,http://ufcstats.com/fighter-details/e5767ed355a937c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,False,,0.0,,,Not enough UFC data,Orthodox,True,Right,False,2,Orthodox · Right-handed,Right foot · Right hand,
Martin Kampmann,Denmark,Europe,Southpaw,Right,20,8,28,71.43,Welterweight,Study fundamentals and signature techniques,corrected,Men,182.9,182.9,Orthodox,1982-04-17,http://ufcstats.com/fighter-details/8b69839f3555a67b,17.0,11.0,6.0,2.0,5.0,4.0,0.0,5.0,2006-08-17,2013-08-28,17.0,153.4,3.22,42.37,3.28,62.05,1.86,41.3,78.46,2.05,0.49,29.5,60.53,22.27,17.21,78.95,17.61,3.44,44.4,31.4,False,0.0,5.0,49.0,82.0,Grappler,Orthodox,False,Right,False,34,Orthodox · Right-handed,Right foot · Right hand,1.0
Dennis Siver,Germany,Europe,Southpaw,Right,22,13,35,62.86,Lightweight,Study fundamentals and signature techniques,original,Men,167.6,177.8,Orthodox,1979-01-13,http://ufcstats.com/fighter-details/5f87a5c00b3d17ed,21.0,12.0,8.0,3.0,2.0,7.0,0.0,1.0,2007-04-21,2017-06-25,21.0,224.3,3.87,32.45,2.67,65.05,0.87,32.5,65.0,0.33,0.47,16.99,84.81,5.29,9.9,56.85,13.58,29.57,47.7,38.4,False,10.2,1.0,60.0,46.0,All-rounder,Orthodox,False,Right,False,22,Orthodox · Right-handed,Right foot · Right hand,1.061
Israel Adesanya,Nigeria,Africa,Southpaw,Right,24,3,27,88.89,Middleweight,"Study calf kicks, feints, distance management",original,Men,193.0,203.2,Switch,1989-07-22,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,19.0,13.0,6.0,5.0,0.0,8.0,12.0,15.0,2018-02-10,2026-03-28,19.0,325.8,4.03,48.38,3.22,55.78,0.05,9.09,76.42,0.14,0.6,3.15,92.31,4.87,2.82,49.12,20.87,30.01,37.2,36.7,True,10.2,27.0,67.0,9.0,Striker,Switch,False,Left,True,87,Switch · Right-handed,Left foot · Right hand,1.053
Francis Ngannou,Cameroon,Africa,Orthodox,Right,17,3,20,85.0,Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,210.8,Orthodox,1986-09-05,http://ufcstats.com/fighter-details/8d03ce87ca14e778,14.0,12.0,2.0,10.0,1.0,1.0,3.0,6.0,2015-12-19,2022-01-22,14.0,98.2,2.33,41.26,2.16,41.92,0.76,62.5,71.79,0.31,1.22,11.93,65.5,15.72,18.78,68.12,17.9,13.97,40.1,35.4,False,17.8,9.0,53.0,36.0,Striker,Orthodox,True,Left,True,51,Orthodox · Right-handed,Left foot · Right hand,1.092
Ciryl Gane,France,Europe,Orthodox,Right,11,2,13,84.62,Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,205.7,Orthodox,1990-04-12,http://ufcstats.com/fighter-details/787bb1f087ccff8a,14.0,11.0,2.0,5.0,2.0,4.0,5.0,8.0,2019-08-10,2026-06-14,14.0,181.9,5.4,61.71,2.31,60.86,0.66,23.53,47.06,0.58,0.33,8.93,88.81,6.92,4.27,44.56,26.55,28.89,36.5,36.2,True,12.7,13.0,68.0,38.0,Striker,Orthodox,True,Right,True,64,Orthodox · Right-handed,Right foot · Right hand,1.066
Benoit Saint Denis,France,Europe,Orthodox,Right,13,3,16,81.25,Lightweight,Study fundamentals and signature techniques,original,Men,180.3,185.4,Southpaw,1995-12-18,http://ufcstats.com/fighter-details/c2299ec916bc7c56,13.0,9.0,4.0,5.0,4.0,0.0,0.0,1.0,2021-10-30,2026-07-11,13.0,86.8,5.58,58.45,4.09,41.99,4.15,35.29,72.22,1.73,0.86,47.21,50.62,17.98,31.4,62.81,26.45,10.74,30.8,30.6,True,5.1,1.0,91.0,94.0,All-rounder,Southpaw,False,Right,False,14,Southpaw · Right-handed,Right foot · Right hand,1.028
Nassourdine Imavov,France,Europe,Southpaw,Right,14,4,18,77.78,Middleweight,Study fundamentals and signature techniques,original,Men,190.5,190.5,Orthodox,1996-03-01,http://ufcstats.com/fighter-details/881bf86d4cba8578,12.0,9.0,2.0,4.0,0.0,5.0,0.0,5.0,2020-10-03,2025-09-06,12.0,183.2,4.28,54.98,3.17,58.74,0.74,32.14,81.4,0.98,0.16,15.62,73.09,15.18,11.73,68.11,19.77,12.12,30.6,29.5,True,0.0,5.0,43.0,55.0,All-rounder,Orthodox,False,Right,False,29,Orthodox · Right-handed,Right foot · Right hand,1.0
Ilia Topuria,Georgia,Europe,Orthodox,Right,15,0,15,100.0,Featherweight,Study fundamentals and signature techniques,original,Men,170.2,175.3,Orthodox,1997-01-21,http://ufcstats.com/fighter-details/54f64b5e283b0ce7,10.0,9.0,1.0,6.0,1.0,2.0,4.0,5.0,2020-10-10,2026-06-14,10.0,104.2,4.82,50.1,3.97,62.05,1.73,57.14,95.24,0.86,1.15,20.46,77.09,6.77,16.14,68.33,21.12,10.56,29.7,29.4,True,5.1,9.0,88.0,69.0,Striker,Orthodox,True,Right,True,43,Orthodox · Right-handed,Right foot · Right hand,1.03
Merab Dvalishvili,Georgia,Europe,Orthodox,Right,16,4,20,80.0,Bantamweight,Study fundamentals and signature techniques,corrected,Men,167.6,172.7,Orthodox,1991-01-10,http://ufcstats.com/fighter-details/c03520b5c88ed6b4,17.0,14.0,3.0,1.0,1.0,12.0,5.0,4.0,2017-12-09,2025-12-06,17.0,299.1,4.42,41.56,2.8,54.03,5.97,35.21,76.0,0.35,0.05,35.91,63.62,14.9,21.48,66.57,17.32,16.11,35.7,34.9,True,5.1,9.0,38.0,77.0,Grappler,Orthodox,True,Right,True,55,Orthodox · Right-handed,Right foot · Right hand,1.03
Alexander Volkanovski,Australia,Oceania,Orthodox,Right,26,3,29,89.66,Featherweight,Study fundamentals and signature techniques,original,Men,167.6,180.3,Orthodox,1988-09-29,http://ufcstats.com/fighter-details/e1248941344b3288,18.0,15.0,3.0,5.0,0.0,10.0,11.0,8.0,2016-11-26,2026-01-31,18.0,303.0,5.99,57.11,3.31,58.74,1.63,34.02,68.89,0.2,0.3,19.75,76.42,8.48,15.1,65.01,10.36,24.63,38.0,37.3,True,12.7,19.0,68.0,50.0,Striker,Orthodox,True,Right,True,84,Orthodox · Right-handed,Right foot · Right hand,1.076
Robert Whittaker,Australia,Oceania,Orthodox,Right,24,6,30,80.0,Middleweight,Study fundamentals and signature techniques,original,Men,182.9,185.4,Orthodox,1990-12-20,http://ufcstats.com/fighter-details/e1147d3d2dabe1ce,25.0,18.0,7.0,7.0,0.0,11.0,4.0,9.0,2012-12-14,2026-07-11,25.0,337.8,4.41,43.39,3.4,59.17,0.71,38.1,80.0,0.0,0.53,7.89,86.5,6.72,6.78,71.79,10.28,17.93,35.8,35.6,True,2.5,13.0,71.0,18.0,Striker,Orthodox,True,Right,True,76,Orthodox · Right-handed,Right foot · Right hand,1.014
Mark Hunt,New Zealand,Oceania,Orthodox,Right,13,14,27,48.15,Heavyweight,Study fundamentals and signature techniques,corrected,Men,177.8,182.9,Orthodox,1974-03-23,http://ufcstats.com/fighter-details/eef9b891edbd4604,18.0,8.0,8.0,7.0,0.0,1.0,1.0,7.0,2010-09-25,2018-12-01,18.0,200.9,2.38,43.35,3.32,49.05,0.52,53.85,65.79,0.07,0.67,9.81,84.55,7.1,8.35,78.91,10.65,10.44,52.5,44.7,False,5.1,8.0,46.0,20.0,Striker,Orthodox,True,Right,False,36,Orthodox · Right-handed,Right foot · Right hand,1.029
Tai Tuivasa,Australia,Oceania,Orthodox,Right,15,5,20,75.0,Heavyweight,Study fundamentals and signature techniques,corrected,Men,188.0,190.5,Southpaw,1993-03-16,http://ufcstats.com/fighter-details/c62fbc117d57b943,19.0,8.0,11.0,7.0,0.0,1.0,0.0,3.0,2017-11-18,2026-09-19,19.0,160.7,3.25,48.42,4.36,43.69,0.09,11.11,56.25,0.0,0.75,15.61,68.77,24.71,6.51,58.81,18.2,22.99,33.5,33.5,True,2.5,3.0,60.0,18.0,Striker,Southpaw,False,Right,False,20,Southpaw · Right-handed,Right foot · Right hand,1.013
Georges St-Pierre,Canada,North America,Orthodox,Right,26,2,28,92.86,Welterweight,"Study wrestling, fight IQ",corrected,Men,180.3,193.0,Orthodox,1981-05-19,http://ufcstats.com/fighter-details/6506c1d34da9c013,22.0,20.0,2.0,5.0,3.0,12.0,15.0,13.0,2004-01-31,2017-11-04,22.0,342.6,3.83,53.16,1.45,73.07,3.94,73.77,85.19,1.05,0.39,47.3,57.5,7.39,35.11,64.74,18.66,16.6,45.3,36.5,False,12.7,28.0,53.0,91.0,Grappler,Orthodox,True,Right,True,96,Orthodox · Right-handed,Right foot · Right hand,1.07
Rory MacDonald,Canada,North America,Orthodox,Right,22,6,28,78.57,Welterweight,Study fundamentals and signature techniques,corrected,Men,182.9,193.0,Orthodox,1989-07-22,http://ufcstats.com/fighter-details/cbd5d3cdd862e90e,13.0,9.0,4.0,3.0,1.0,5.0,1.0,2.0,2010-01-11,2016-06-18,13.0,178.0,3.75,42.48,2.8,62.45,1.77,47.73,88.89,0.42,0.08,16.21,76.31,8.25,15.44,74.81,18.74,6.45,37.2,26.9,False,10.1,3.0,29.0,58.0,Grappler,Orthodox,True,Right,True,22,Orthodox · Right-handed,Right foot · Right hand,1.055
Zhang Weili,China,Asia,Orthodox,Right,23,3,26,88.46,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,162.6,160.0,Switch,1989-08-13,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,13.0,10.0,3.0,2.0,2.0,6.0,9.0,1.0,2018-08-04,2025-11-15,13.0,199.2,4.66,52.69,2.63,53.14,1.96,44.83,63.64,0.45,0.23,28.98,59.42,8.83,31.75,58.99,17.12,23.9,37.1,36.3,True,-2.6,10.0,54.0,69.0,Grappler,Switch,False,Right,True,51,Switch · Right-handed,Right foot · Right hand,0.984
Yan Xiaonan,China,Asia,Southpaw,Left,18,3,21,85.71,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,165.1,160.0,Orthodox,1989-06-16,http://ufcstats.com/fighter-details/c41d426cc7326d1b,14.0,9.0,5.0,1.0,0.0,8.0,1.0,1.0,2017-11-25,2026-08-29,14.0,200.1,4.67,44.76,3.24,60.33,0.82,73.33,64.91,0.0,0.15,7.92,86.74,7.49,5.78,65.24,13.26,21.5,37.3,37.2,True,-5.1,2.0,49.0,21.0,Striker,Orthodox,False,Left,False,18,Orthodox · Left-handed,Left foot · Left hand,0.969
Chan Sung Jung,South Korea,Asia,Orthodox,Right,17,7,24,70.83,Featherweight,Study fundamentals and signature techniques,original,Men,170.2,182.9,Orthodox,1987-03-17,http://ufcstats.com/fighter-details/c451d67c09c55418,12.0,7.0,5.0,4.0,2.0,1.0,2.0,10.0,2011-03-26,2023-08-26,12.0,151.1,3.76,40.98,4.44,50.11,0.79,44.44,71.43,0.69,0.4,13.06,79.4,5.63,14.96,80.46,10.56,8.98,39.5,36.4,False,12.7,12.0,52.0,49.0,All-rounder,Orthodox,True,Right,False,51,Orthodox · Right-handed,Right foot · Right hand,1.075
Yushin Okami,Japan,Asia,Orthodox,Right,30,11,41,73.17,Middleweight,Study fundamentals and signature techniques,corrected,Men,188.0,190.5,Southpaw,1981-07-21,http://ufcstats.com/fighter-details/acff437707625fc7,21.0,14.0,7.0,5.0,0.0,9.0,1.0,4.0,2006-08-26,2018-12-01,21.0,252.2,2.03,38.46,2.25,61.0,1.96,37.93,84.62,0.54,0.24,38.04,55.56,13.45,30.99,78.95,14.23,6.82,45.2,37.4,False,2.5,5.0,18.0,75.0,Grappler,Southpaw,False,Left,False,41,Southpaw · Right-handed,Left foot · Right hand,1.013
Takanori Gomi,Japan,Asia,Southpaw,Left,37,12,49,75.51,Lightweight,Study fundamentals and signature techniques,original,Men,170.2,177.8,Southpaw,1978-09-22,http://ufcstats.com/fighter-details/3be081c29bf734d9,13.0,4.0,9.0,2.0,0.0,2.0,0.0,1.0,2010-03-31,2017-09-22,13.0,89.3,4.11,38.92,4.74,57.36,0.17,25.0,60.0,0.0,0.34,11.25,88.28,8.72,3.0,62.67,29.7,7.63,48.0,39.0,False,7.6,1.0,54.0,14.0,Striker,Southpaw,True,Left,True,7,Southpaw · Left-handed,Left foot · Left hand,1.045
Tatsuya Kawajiri,Japan,Asia,Orthodox,Right,27,10,37,72.97,Lightweight,Study fundamentals and signature techniques,original,Men,170.2,175.3,Orthodox,1978-05-08,http://ufcstats.com/fighter-details/80d918336163b80c,6.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,2014-01-04,2016-08-06,6.0,80.8,1.68,46.74,3.02,36.62,3.34,31.03,50.0,0.37,0.0,51.9,50.74,7.35,41.91,78.68,9.56,11.76,48.4,38.2,False,5.1,0.0,2.0,79.0,Grappler,Orthodox,True,Right,False,3,Orthodox · Right-handed,Right foot · Right hand,1.03
Dong Hyun Kim,South Korea,Asia,Orthodox,Right,21,4,25,84.0,Welterweight,Study fundamentals and signature techniques,corrected,Men,188.0,193.0,Southpaw,1981-11-17,http://ufcstats.com/fighter-details/9bcf8603ceb25680,18.0,13.0,4.0,4.0,1.0,8.0,0.0,1.0,2008-05-24,2017-06-17,18.0,199.6,2.12,49.02,1.89,58.57,2.93,43.82,71.67,0.6,0.3,49.39,36.56,19.81,43.63,77.12,10.38,12.5,44.9,35.6,False,5.0,1.0,23.0,85.0,Grappler,Southpaw,False,Right,False,25,Southpaw · Right-handed,Right foot · Right hand,1.027
Valentina Shevchenko,Kyrgyzstan,Asia,Orthodox,Right,23,4,27,85.19,Women's Flyweight,Study fundamentals and signature techniques,corrected,Women,165.1,167.6,Southpaw,1988-03-07,http://ufcstats.com/fighter-details/132deb59abae64b1,20.0,15.0,3.0,4.0,2.0,9.0,15.0,6.0,2015-12-19,2025-11-15,20.0,387.3,3.05,52.01,2.09,63.08,2.63,61.26,75.44,0.31,0.08,31.61,72.63,9.32,18.05,66.36,13.22,20.42,38.5,37.7,True,2.5,21.0,18.0,69.0,Grappler,Southpaw,False,Right,True,87,Southpaw · Right-handed,Right foot · Right hand,1.015
Leon Edwards,Jamaica,North America,Orthodox,Right,21,3,24,87.5,Welterweight,Study fundamentals and signature techniques,original,Men,188.0,188.0,Southpaw,1991-08-25,http://ufcstats.com/fighter-details/f1fac969a1d70b08,20.0,14.0,5.0,3.0,1.0,10.0,4.0,8.0,2014-11-08,2025-11-15,20.0,335.6,2.6,54.36,2.44,52.77,1.25,37.33,63.71,0.36,0.22,20.99,75.83,13.63,10.54,56.13,23.6,20.27,35.1,34.2,True,0.0,12.0,22.0,55.0,Grappler,Southpaw,False,Left,True,67,Southpaw · Right-handed,Left foot · Right hand,1.0
Tarec Saffiedine,Belgium,Europe,Orthodox,Right,17,8,25,68.0,Welterweight,Study fundamentals and signature techniques,corrected,Men,177.8,177.8,Switch,1986-09-06,http://ufcstats.com/fighter-details/0749d968e932df53,6.0,2.0,4.0,0.0,0.0,2.0,0.0,2.0,2014-01-04,2017-06-17,6.0,96.5,3.73,45.92,3.88,56.66,0.62,33.33,80.77,0.16,0.47,13.51,83.61,14.72,1.67,54.44,17.22,28.33,40.0,30.8,False,0.0,2.0,54.0,30.0,Striker,Switch,False,Right,True,10,Switch · Right-handed,Right foot · Right hand,1.0
